Laser Delay [ns];TA [mOD]
-200;-1.230766
-190;-0.048709
-180;-0.052592
-170;-0.647287
-160;0.209857
-150;-0.454296
-140;0.477842
-130;0.374760
-120;-0.433483
-110;-0.185947
-100;-0.718021
-90;0.772494
-80;0.603748
-70;-0.458081
-60;0.019982
-50;0.101623
-40;-0.105935
-30;-0.207874
-20;0.685161
-10;3.629064
0;6.678551
10;9.718187
20;13.606205
30;15.949643
40;19.667146
50;21.790173
60;26.291907
70;27.673886
80;30.975037
90;34.446414
100;36.423825
110;37.472126
120;37.898618
130;38.071750
140;37.833578
150;36.640242
160;35.315929
170;36.484083
180;35.705837
190;34.430625
200;35.225618
210;34.420023
220;34.392243
230;34.899138
240;33.241676
250;32.552942
260;32.817296
270;32.700997
280;33.075556
290;32.034542
300;31.552980
310;31.546026
320;30.795839
330;29.676362
340;30.541002
350;30.497020
360;28.588149
370;28.750367
380;28.985343
390;28.234911
400;28.049833
410;27.363977
420;27.113775
430;26.729796
440;27.036596
450;27.246966
460;26.054577
470;26.423662
480;25.565846
490;25.059412
500;25.308444
