Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD]
-200;0.130058;0.048462;0.039937
-190;-0.926850;0.367818;-0.116575
-180;0.187012;0.897041;0.477698
-170;1.145742;1.377466;0.749499
-160;0.000000;-0.314904;0.025387
-150;-1.532575;-1.032109;-0.867077
-140;-0.097481;-0.186079;0.394471
-130;0.294633;0.064336;-0.048556
-120;-0.133925;0.388721;-0.266513
-110;1.144776;-0.483832;0.918655
-100;-0.369044;-0.972963;1.493194
-90;0.769701;-1.201278;-0.653583
-80;-0.556577;-0.140462;-0.945399
-70;0.983616;0.044398;1.420107
-60;2.048239;0.804493;0.247457
-50;-0.908969;0.325673;0.305087
-40;-1.090677;-0.455065;-0.401682
-30;-0.615892;0.369228;0.646999
-20;1.888224;2.032901;0.219587
-10;3.973147;5.087361;5.218135
0;5.979288;7.657794;6.678035
10;10.087571;9.492584;9.642413
20;13.187069;13.666117;13.623812
30;15.947197;17.119903;15.965074
40;20.303611;19.442617;18.732621
50;23.669496;22.665923;23.227027
60;25.832702;24.924506;24.328121
70;25.420582;25.944295;25.257433
80;24.085675;24.579746;23.421803
90;24.258303;24.082789;23.606810
100;24.903723;24.870672;23.826545
110;23.731220;25.267329;23.429311
120;23.652670;24.432665;22.971944
130;23.677288;22.719811;22.689231
140;23.071425;22.398792;23.392612
150;22.506890;23.948680;21.920289
160;23.171116;23.575324;22.575027
170;23.183936;21.025009;22.701837
180;21.976043;22.776031;20.806770
190;21.677641;21.758416;21.757830
200;20.429120;22.095680;22.179676
210;22.313956;20.393061;23.133176
220;20.849313;20.718778;20.460210
230;20.494843;19.964216;20.203550
240;20.209637;20.789446;20.327695
250;20.900501;20.853081;20.304556
260;20.600337;20.150024;20.182257
270;19.770496;20.001775;21.401150
280;19.556585;19.920544;18.248842
290;19.075228;19.081062;19.783220
300;19.634715;19.396702;20.199819
310;18.728256;19.522768;19.613540
320;19.480951;19.763306;18.319394
330;18.945096;16.971867;18.019784
340;19.502879;17.143342;19.570640
350;17.379279;18.138825;18.313888
360;19.397640;18.679158;18.891019
370;17.855987;17.794148;18.784128
380;18.181182;19.184357;18.875391
390;16.244378;17.380073;18.386235
400;19.231314;16.929640;16.555602
410;18.035457;16.928158;16.665140
420;16.009988;16.412612;16.187872
430;17.402514;17.841894;17.515977
440;16.299687;17.437767;16.039218
450;16.253970;16.393047;15.773274
460;15.578597;16.194786;17.149817
470;15.818365;15.565906;15.243064
480;15.942418;16.078215;15.024880
490;14.627107;15.645393;15.807984
500;16.054591;15.951512;14.241906
